Datum;Zeit;Temperatur;Einheit;Sollwert;Einheit;P-Ausgabe;Einheit
13.12.2021;14:11:01,381513;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,382439;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,383365;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,384291;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,385217;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,386143;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,387068;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,387995;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,388923;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,389850;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,390777;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,391704;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,392632;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,393559;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,394487;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,395413;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,396341;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,397268;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,398196;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,399122;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,400050;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,400915;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,401780;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,402646;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,403511;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,404377;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,405242;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,406107;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,406972;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,407837;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,408702;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,409568;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,410433;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,411299;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,412164;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,413029;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,413957;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,414886;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,415813;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,416741;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,417669;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,418598;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,419526;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,420454;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,421383;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,422310;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,423238;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,424166;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,425095;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,426023;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,426954;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,427886;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,428818;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,429750;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,430681;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,431612;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,432544;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,433476;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,434407;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,435339;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,436271;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,437202;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,438134;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,439066;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,439997;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,440862;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,441728;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,442594;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,443460;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,444326;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,445192;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,446057;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,446924;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,447789;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,448655;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,449521;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,450387;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,451253;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,452119;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,452984;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,453910;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,454836;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,455761;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,456687;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,457613;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,458538;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,459463;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,460389;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,461315;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,462240;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,463166;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,464091;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,465017;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,465943;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,466800;549,9;°C;550,0;°C;50,0;%
13.12.2021;14:11:01,467656;549,9;°C;550,0;°C;50,0;%
